Time_s,C3_Left_V,C3_Right_V,C4_Left_V,C4_Right_V
-0.5,1.9469449170179483e-06,-7.393376184937201e-07,1.7952881976427265e-06,-5.411569902420773e-07
-0.496,1.1599825856602829e-06,-3.4270388731948297e-07,3.2552873332985754e-07,5.691199076172817e-08
-0.492,8.016205626272177e-08,-3.719639028910301e-08,-1.254584568872351e-06,3.401710302044986e-07
-0.488,-9.033070437363726e-07,8.961337641998814e-08,-2.5476775251418144e-06,1.1794871808339951e-07
-0.484,-1.4436449437862364e-06,5.2139014645021405e-08,-3.2556233770402813e-06,-5.565743508650577e-07
-0.48,-1.3488253111844327e-06,-6.618054423581742e-08,-3.252628808673217e-06,-1.4084841298258612e-06
-0.476,-6.357010431426401e-07,-1.7309920750997883e-07,-2.5921324487652194e-06,-2.0686000937642594e-06
-0.472,4.7437097504376955e-07,-2.135762945407259e-07,-1.4781288949054353e-06,-2.2428866391452006e-06
-0.468,1.6125212948992347e-06,-1.7332150025923891e-07,-2.2320955836909226e-07,-1.8369782621300804e-06
-0.464,2.361910992843922e-06,-5.240546823252105e-08,8.056954266344801e-07,-9.796694199773638e-07
-0.46,2.38967763674367e-06,1.577221218929372e-07,1.2701263097010368e-06,5.4263335249973966e-08
-0.456,1.5796033115854403e-06,4.658684680640514e-07,9.776111184853243e-07,9.714910080507527e-07
-0.452,1.1358306716353878e-07,8.438260993505309e-07,-3.397132752372232e-09,1.570716128271276e-06
-0.448,-1.5464700830688461e-06,1.1902131858388749e-06,-1.295386511448705e-06,1.786899245039954e-06
-0.444,-2.8022020690369465e-06,1.341978989913772e-06,-2.297910531080824e-06,1.6735164413263633e-06
-0.44,-3.1552598552616987e-06,1.141274352732881e-06,-2.4194274757192914e-06,1.3440630739192018e-06
-0.436,-2.444113041949901e-06,5.324610170552172e-07,-1.3766521327766268e-06,9.209058431955746e-07
-0.432,-9.572936408402289e-07,-3.7132147774579925e-07,5.927709819081763e-07,5.103496753158593e-07
-0.428,6.584492182839816e-07,-1.3033088574660927e-06,2.7499662481088716e-06,1.9772901582189498e-07
-0.424,1.680662463633047e-06,-1.9462195982820898e-06,4.146868557200093e-06,4.521476901897055e-08
-0.42,1.6552283015009487e-06,-2.0740979179243088e-06,4.075386223308355e-06,7.671917169519802e-08
-0.416,6.243077531937655e-07,-1.6609702535129202e-06,2.451668271974214e-06,2.5107016146335845e-07
-0.412,-8.900364181676573e-07,-8.900607114874922e-07,-8.620853693872274e-08,4.5721848856061726e-07
-0.408,-2.1547859789448837e-06,-5.7885634503721344e-08,-2.4523046795587118e-06,5.497120578757725e-07
-0.404,-2.6049339278393044e-06,5.704532508887321e-07,-3.6325496308903496e-06,4.168155645605041e-07
-0.4,-2.12567929026829e-06,8.808300096175608e-07,-3.1842943031428254e-06,5.18985611852672e-08
-0.396,-1.0796716147582113e-06,9.34519240938872e-07,-1.4462598399998349e-06,-4.2367336613114554e-07
-0.392,-6.500942328837512e-08,8.961209339755034e-07,6.607869082054602e-07,-8.092117830499779e-07
-0.388,4.523994420577816e-07,9.141063944490951e-07,2.1382420833070435e-06,-9.292156938500324e-07
-0.384,4.0808207861963616e-07,1.0288815347411974e-06,2.432235098189887e-06,-7.374746192796785e-07
-0.38,1.4907335952471053e-07,1.160160440987085e-06,1.6845005079794095e-06,-3.5498707194190873e-07
-0.376,1.8045941866797552e-07,1.1668066194508938e-06,5.797160930860308e-07,-1.769860987298652e-08
-0.372,8.12143261941912e-07,9.452702494853015e-07,-1.035098145910021e-07,5.306824748285037e-08
-0.368,1.924146745621281e-06,4.922917324162601e-07,2.966411083814116e-08,-2.2308033913557267e-07
-0.364,3.0033794169481142e-06,-9.342042882034511e-08,7.700280109192229e-07,-7.266826471962454e-07
-0.36,3.442439116082377e-06,-6.698256932547065e-07,1.4715075852682629e-06,-1.1938089586080496e-06
-0.356,2.9136340740459347e-06,-1.1272476573681364e-06,1.4858194594410695e-06,-1.3564993615252214e-06
-0.352,1.5863905318550031e-06,-1.4304245788696063e-06,5.885113538355319e-07,-1.0893086150250805e-06
-0.348,5.322573996873844e-08,-1.614267702489397e-06,-8.62586675639019e-07,-4.880050967744759e-07
-0.344,-9.98122853817183e-07,-1.7380245564424568e-06,-2.1333146609692227e-06,1.745175744483607e-07
-0.34,-1.1661341545189347e-06,-1.8336036568056338e-06,-2.54843991847243e-06,5.88609339024078e-07
-0.336,-5.492198833516403e-07,-1.8856760275734449e-06,-1.893195739408117e-06,5.650366594895212e-07
-0.332,3.324046980456549e-07,-1.841058107749417e-06,-5.361163105629938e-07,1.3388587524452847e-07
-0.328,8.52432694855971e-07,-1.6440738206051224e-06,7.949343959396376e-07,-4.749275889688538e-07
-0.324,6.293372676243509e-07,-1.2712322306276572e-06,1.4299486574458824e-06,-9.54594653934307e-07
-0.32,-2.910150075202774e-07,-7.409691918910806e-07,1.1182592274279578e-06,-1.0736081014739124e-06
